ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
1078,Northeast,New York,1949,Total cropland,8485,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1079,Northeast,New Jersey,1949,Total cropland,1090,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1080,Northeast,Pennsylvania,1949,Total cropland,7945,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1081,Northeast,Delaware,1949,Total cropland,535,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1082,Northeast,Maryland,1949,Total cropland,2286,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1083,Northeast,District of Columbia,1949,Total cropland,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1084,Lake States total,Lake States,1949,Total cropland,46410,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1085,Lake States,Michigan,1949,Total cropland,11044,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1086,Lake States,Wisconsin,1949,Total cropland,12905,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1087,Lake States,Minnesota,1949,Total cropland,22461,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1088,Corn Belt total,Corn Belt,1949,Total cropland,95956,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1089,Corn Belt,Ohio,1949,Total cropland,13378,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1090,Corn Belt,Indiana,1949,Total cropland,13827,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1091,Corn Belt,Illinois,1949,Total cropland,23944,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1092,Corn Belt,Iowa,1949,Total cropland,26050,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1093,Corn Belt,Missouri,1949,Total cropland,18757,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1094,Northern Plains total,Northern Plains,1949,Total cropland,100666,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1095,Northern Plains,North Dakota,1949,Total cropland,27628,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1096,Northern Plains,South Dakota,1949,Total cropland,19821,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1097,Northern Plains,Nebraska,1949,Total cropland,23777,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1098,Northern Plains,Kansas,1949,Total cropland,29440,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1099,Appalachian total,Appalachian,1949,Total cropland,37363,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1100,Appalachian,Virginia,1949,Total cropland,5789,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1101,Appalachian,West Virginia,1949,Total cropland,2354,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1102,Appalachian,North Carolina,1949,Total cropland,7699,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1103,Appalachian,Kentucky,1949,Total cropland,11601,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1104,Appalachian,Tennessee,1949,Total cropland,9920,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1105,Southeast total,Southeast,1949,Total cropland,27919,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1106,Southeast,South Carolina,1949,Total cropland,5387,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1107,Southeast,Georgia,1949,Total cropland,10487,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1108,Southeast,Florida,1949,Total cropland,3324,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1109,Southeast,Alabama,1949,Total cropland,8721,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1110,Delta States total,Delta States,1949,Total cropland,24283,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1111,Delta States,Mississippi,1949,Total cropland,8972,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1112,Delta States,Arkansas,1949,Total cropland,9654,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1113,Delta States,Louisiana,1949,Total cropland,5657,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1114,Southern Plains total,Southern Plains,1949,Total cropland,53986,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1115,Southern Plains,Oklahoma,1949,Total cropland,16016,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1116,Southern Plains,Texas,1949,Total cropland,37970,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1117,Mountain total,Mountain,1949,Total cropland,39675,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1118,Mountain,Montana,1949,Total cropland,13928,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1119,Mountain,Idaho,1949,Total cropland,5230,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1120,Mountain,Wyoming,1949,Total cropland,2712,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1121,Mountain,Colorado,1949,Total cropland,11028,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1122,Mountain,New Mexico,1949,Total cropland,2839,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1123,Mountain,Arizona,1949,Total cropland,1266,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1124,Mountain,Utah,1949,Total cropland,2053,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1125,Mountain,Nevada,1949,Total cropland,619,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1126,Pacific total,Pacific,1949,Total cropland,27023,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1127,Pacific,Washington,1949,Total cropland,7721,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1128,Pacific,Oregon,1949,Total cropland,5537,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1129,Pacific,California,1949,Total cropland,13765,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1130,48 States,48 States,1949,Total cropland,477838,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1131,AK and HI,Alaska,1949,Total cropland,12,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1132,AK and HI,Hawaii,1949,Total cropland,465,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1133,U.S. total,U.S. total,1949,Total cropland,478315,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1134,Northeast total,Northeast,1954,Total cropland,22830,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1135,Northeast,Maine,1954,Total cropland,1274,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1136,Northeast,New Hampshire,1954,Total cropland,385,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1137,Northeast,Vermont,1954,Total cropland,1072,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1138,Northeast,Massachusetts,1954,Total cropland,561,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1139,Northeast,Rhode Island,1954,Total cropland,69,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1140,Northeast,Connecticut,1954,Total cropland,467,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1141,Northeast,New York,1954,Total cropland,7864,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1142,Northeast,New Jersey,1954,Total cropland,1096,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1143,Northeast,Pennsylvania,1954,Total cropland,7399,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1144,Northeast,Delaware,1954,Total cropland,519,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1145,Northeast,Maryland,1954,Total cropland,2124,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1146,Northeast,District of Columbia,1954,Total cropland,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1147,Lake States total,Lake States,1954,Total cropland,45897,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1148,Lake States,Michigan,1954,Total cropland,10836,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1149,Lake States,Wisconsin,1954,Total cropland,12766,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1150,Lake States,Minnesota,1954,Total cropland,22295,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1151,Corn Belt total,Corn Belt,1954,Total cropland,95268,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1152,Corn Belt,Ohio,1954,Total cropland,13054,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1153,Corn Belt,Indiana,1954,Total cropland,13877,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1154,Corn Belt,Illinois,1954,Total cropland,24050,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1155,Corn Belt,Iowa,1954,Total cropland,26170,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1156,Corn Belt,Missouri,1954,Total cropland,18117,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1157,Northern Plains total,Northern Plains,1954,Total cropland,101043,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1158,Northern Plains,North Dakota,1954,Total cropland,27872,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1159,Northern Plains,South Dakota,1954,Total cropland,19692,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1160,Northern Plains,Nebraska,1954,Total cropland,23269,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1161,Northern Plains,Kansas,1954,Total cropland,30210,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1162,Appalachian total,Appalachian,1954,Total cropland,33722,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1163,Appalachian,Virginia,1954,Total cropland,4886,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1164,Appalachian,West Virginia,1954,Total cropland,1835,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1165,Appalachian,North Carolina,1954,Total cropland,7264,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1166,Appalachian,Kentucky,1954,Total cropland,10641,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1167,Appalachian,Tennessee,1954,Total cropland,9096,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1168,Southeast total,Southeast,1954,Total cropland,24824,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1169,Southeast,South Carolina,1954,Total cropland,4891,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1170,Southeast,Georgia,1954,Total cropland,9009,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1171,Southeast,Florida,1954,Total cropland,3443,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1172,Southeast,Alabama,1954,Total cropland,7481,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1173,Delta States total,Delta States,1954,Total cropland,22162,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1174,Delta States,Mississippi,1954,Total cropland,7805,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1175,Delta States,Arkansas,1954,Total cropland,8863,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1176,Delta States,Louisiana,1954,Total cropland,5494,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1177,Southern Plains total,Southern Plains,1954,Total cropland,52120,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1178,Southern Plains,Oklahoma,1954,Total cropland,14774,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1179,Southern Plains,Texas,1954,Total cropland,37346,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1180,Mountain total,Mountain,1954,Total cropland,41218,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1181,Mountain,Montana,1954,Total cropland,15005,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1182,Mountain,Idaho,1954,Total cropland,5540,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1183,Mountain,Wyoming,1954,Total cropland,2582,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1184,Mountain,Colorado,1954,Total cropland,11257,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1185,Mountain,New Mexico,1954,Total cropland,2504,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1186,Mountain,Arizona,1954,Total cropland,1615,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1187,Mountain,Utah,1954,Total cropland,2037,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1188,Mountain,Nevada,1954,Total cropland,678,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1189,Pacific total,Pacific,1954,Total cropland,26243,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1190,Pacific,Washington,1954,Total cropland,7710,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1191,Pacific,Oregon,1954,Total cropland,5282,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1192,Pacific,California,1954,Total cropland,13251,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1193,48 States,48 States,1954,Total cropland,465327,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1194,AK and HI,Alaska,1954,Total cropland,13,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1195,AK and HI,Hawaii,1954,Total cropland,307,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1196,U.S. total,U.S. total,1954,Total cropland,465647,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1197,Northeast total,Northeast,1959,Total cropland,20973,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1198,Northeast,Maine,1959,Total cropland,1186,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1199,Northeast,New Hampshire,1959,Total cropland,360,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1200,Northeast,Vermont,1959,Total cropland,988,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1201,Northeast,Massachusetts,1959,Total cropland,467,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1202,Northeast,Rhode Island,1959,Total cropland,53,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1203,Northeast,Connecticut,1959,Total cropland,358,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1204,Northeast,New York,1959,Total cropland,6978,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1205,Northeast,New Jersey,1959,Total cropland,1006,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1206,Northeast,Pennsylvania,1959,Total cropland,6916,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1207,Northeast,Delaware,1959,Total cropland,574,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1208,Northeast,Maryland,1959,Total cropland,2087,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1209,Northeast,District of Columbia,1959,Total cropland,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1210,Lake States total,Lake States,1959,Total cropland,45495,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1211,Lake States,Michigan,1959,Total cropland,10470,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1212,Lake States,Wisconsin,1959,Total cropland,12502,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1213,Lake States,Minnesota,1959,Total cropland,22523,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1214,Corn Belt total,Corn Belt,1959,Total cropland,95090,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1215,Corn Belt,Ohio,1959,Total cropland,12427,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1216,Corn Belt,Indiana,1959,Total cropland,14198,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1217,Corn Belt,Illinois,1959,Total cropland,23864,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1218,Corn Belt,Iowa,1959,Total cropland,26551,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1219,Corn Belt,Missouri,1959,Total cropland,18050,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1220,Northern Plains total,Northern Plains,1959,Total cropland,101054,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1221,Northern Plains,North Dakota,1959,Total cropland,28275,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1222,Northern Plains,South Dakota,1959,Total cropland,19070,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1223,Northern Plains,Nebraska,1959,Total cropland,23637,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1224,Northern Plains,Kansas,1959,Total cropland,30072,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1225,Appalachian total,Appalachian,1959,Total cropland,29990,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1226,Appalachian,Virginia,1959,Total cropland,4427,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1227,Appalachian,West Virginia,1959,Total cropland,1521,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1228,Appalachian,North Carolina,1959,Total cropland,7358,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1229,Appalachian,Kentucky,1959,Total cropland,8536,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1230,Appalachian,Tennessee,1959,Total cropland,8148,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1231,Southeast total,Southeast,1959,Total cropland,21071,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1232,Southeast,South Carolina,1959,Total cropland,4541,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1233,Southeast,Georgia,1959,Total cropland,7458,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1234,Southeast,Florida,1959,Total cropland,3044,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1235,Southeast,Alabama,1959,Total cropland,6028,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1236,Delta States total,Delta States,1959,Total cropland,20808,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1237,Delta States,Mississippi,1959,Total cropland,7183,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1238,Delta States,Arkansas,1959,Total cropland,8570,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1239,Delta States,Louisiana,1959,Total cropland,5055,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1240,Southern Plains total,Southern Plains,1959,Total cropland,53916,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1241,Southern Plains,Oklahoma,1959,Total cropland,15096,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1242,Southern Plains,Texas,1959,Total cropland,38820,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1243,Mountain total,Mountain,1959,Total cropland,42952,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1244,Mountain,Montana,1959,Total cropland,15243,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1245,Mountain,Idaho,1959,Total cropland,5821,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1246,Mountain,Wyoming,1959,Total cropland,2768,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1247,Mountain,Colorado,1959,Total cropland,11846,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1248,Mountain,New Mexico,1959,Total cropland,2650,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1249,Mountain,Arizona,1959,Total cropland,1557,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1250,Mountain,Utah,1959,Total cropland,2219,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1251,Mountain,Nevada,1959,Total cropland,848,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1252,Pacific total,Pacific,1959,Total cropland,26134,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1253,Pacific,Washington,1959,Total cropland,8053,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1254,Pacific,Oregon,1959,Total cropland,5474,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1255,Pacific,California,1959,Total cropland,12607,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1256,48 States,48 States,1959,Total cropland,457483,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1257,AK and HI,Alaska,1959,Total cropland,24,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1258,AK and HI,Hawaii,1959,Total cropland,500,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1259,U.S. total,U.S. total,1959,Total cropland,458007,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1260,Northeast total,Northeast,1964,Total cropland,19173,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1261,Northeast,Maine,1964,Total cropland,1002,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1262,Northeast,New Hampshire,1964,Total cropland,256,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1263,Northeast,Vermont,1964,Total cropland,883,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1264,Northeast,Massachusetts,1964,Total cropland,369,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1265,Northeast,Rhode Island,1964,Total cropland,46,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1266,Northeast,Connecticut,1964,Total cropland,299,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1267,Northeast,New York,1964,Total cropland,6626,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1268,Northeast,New Jersey,1964,Total cropland,858,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1269,Northeast,Pennsylvania,1964,Total cropland,6314,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1270,Northeast,Delaware,1964,Total cropland,533,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1271,Northeast,Maryland,1964,Total cropland,1987,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1272,Northeast,District of Columbia,1964,Total cropland,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1273,Lake States total,Lake States,1964,Total cropland,44970,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1274,Lake States,Michigan,1964,Total cropland,9867,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1275,Lake States,Wisconsin,1964,Total cropland,12367,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1276,Lake States,Minnesota,1964,Total cropland,22736,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1277,Corn Belt total,Corn Belt,1964,Total cropland,94750,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1278,Corn Belt,Ohio,1964,Total cropland,12035,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1279,Corn Belt,Indiana,1964,Total cropland,13755,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1280,Corn Belt,Illinois,1964,Total cropland,24165,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1281,Corn Belt,Iowa,1964,Total cropland,26623,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1282,Corn Belt,Missouri,1964,Total cropland,18172,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1283,Northern Plains total,Northern Plains,1964,Total cropland,98843,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1284,Northern Plains,North Dakota,1964,Total cropland,27914,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1285,Northern Plains,South Dakota,1964,Total cropland,18965,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1286,Northern Plains,Nebraska,1964,Total cropland,22275,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1287,Northern Plains,Kansas,1964,Total cropland,29689,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1288,Appalachian total,Appalachian,1964,Total cropland,28883,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1289,Appalachian,Virginia,1964,Total cropland,4080,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1290,Appalachian,West Virginia,1964,Total cropland,1238,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1291,Appalachian,North Carolina,1964,Total cropland,6154,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1292,Appalachian,Kentucky,1964,Total cropland,9437,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1293,Appalachian,Tennessee,1964,Total cropland,7974,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
1294,Southeast total,Southeast,1964,Total cropland,18880,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
