ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source,Price per Acre (TND),Total Land (m²),Price (TND),Price per m² (TND),State_encoded,Land_use_encoded
1137,South,Sousse,1954,Total cropland,1072.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,4338233.92,4824000.0,605.3707029420179,57,13
1138,Center,Gafsa,1954,Total cropland,561.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,2270288.46,3927000.0,569.4951874635958,26,13
1139,South,Zaghouan,1954,Total cropland,69.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,279233.34,517500.0,624.279185139922,48,13
1140,South,Jendouba,1954,Total cropland,467.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,1889883.62,3175600.0,543.6327614301622,8,13
1141,North,Kairouan,1954,Total cropland,7864.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,31824507.040000003,78640000.0,705.5308309665933,38,13
1142,Center,Tunis,1954,Total cropland,1096.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,4435358.5600000005,13152000.0,784.1219798612449,36,13
1143,North,Medenine,1954,Total cropland,7399.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,29942717.14,48093500.0,586.6591662509952,47,13
1144,Center,Kairouan,1954,Total cropland,519.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2100320.34,2595000.0,570.2011307627732,10,13
1145,South,Kef,1954,Total cropland,2124.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8595530.64,10620000.0,522.6130371219374,25,13
1147,North,Kebili,1954,Total cropland,45897.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,185738733.42,229485000.0,597.1472726474283,22,13
1148,South,Zaghouan,1954,Total cropland,10836.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,43851774.96,54180000.0,597.9772194096827,27,13
1149,South,Kasserine,1954,Total cropland,12766.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,51662214.76,63830000.0,618.5359606931099,61,13
1150,South,Monastir,1954,Total cropland,22295.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,90224743.7,111475000.0,616.3551254343545,28,13
1151,Center,Gafsa,1954,Total cropland,95268.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,385536258.48,476340000.0,583.2044713810108,9,13
1152,North,Nabeul,1954,Total cropland,13054.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,52827710.440000005,65270000.0,584.0921184032518,43,13
1153,North,Jendouba,1954,Total cropland,13877.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,56158276.22,69385000.0,629.1787410131737,18,13
1154,Center,Kef,1954,Total cropland,24050.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,97326983.0,120250000.0,590.7902118646755,17,13
1155,Center,Sfax,1954,Total cropland,26170.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,105906326.2,130850000.0,628.1866764591638,19,13
1156,Center,Kasserine,1954,Total cropland,18117.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,73316962.62,90585000.0,545.8166305679057,30,13
1157,Center,Ben Arous,1954,Total cropland,101043.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,408906874.98,505215000.0,614.7122116038336,42,13
1158,Center,Ariana,1954,Total cropland,27872.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,112794081.92,139360000.0,606.4151576540356,40,13
1159,South,Sousse,1954,Total cropland,19692.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,79690767.12,98460000.0,658.8515760743815,50,13
1160,South,Gafsa,1954,Total cropland,23269.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,94166385.34,116345000.0,613.1752885570806,33,13
1161,North,Kairouan,1954,Total cropland,30210.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,122255640.6,151050000.0,622.893692869309,20,13
1162,North,Nabeul,1954,Total cropland,33722.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,136468212.92000002,168610000.0,581.9012449684668,3,13
1163,North,Kebili,1954,Total cropland,4886.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,19772957.96,24430000.0,612.1767524984338,58,13
1164,South,Jendouba,1954,Total cropland,1835.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7425988.100000001,9175000.0,580.6243934727239,60,13
1165,Center,Kef,1954,Total cropland,7264.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,29396391.04,36320000.0,578.8053693390845,39,13
1166,South,Manouba,1954,Total cropland,10641.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,43062637.26,53205000.0,613.7989492240549,21,13
1167,Center,Medenine,1954,Total cropland,9096.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,36810238.56,45480000.0,579.084079852849,53,13
1168,South,Mahdia,1954,Total cropland,24824.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,100459252.64,124120000.0,566.3482818462464,51,13
1169,Center,Sfax,1954,Total cropland,4891.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,19793192.26,24455000.0,571.542928988828,49,13
1170,Center,Kairouan,1954,Total cropland,9009.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,36458161.74,45045000.0,647.8628136231191,14,13
1171,Center,Siliana,1954,Total cropland,3443.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,13933338.98,17215000.0,753.1338428607118,13,13
1172,Center,Tataouine,1954,Total cropland,7481.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,30274559.66,37405000.0,541.7218597237129,1,13
1173,South,Mahdia,1954,Total cropland,22162.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,89686511.32000001,110810000.0,631.189808072804,11,13
1174,Center,Tunis,1954,Total cropland,7805.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,31585742.3,39025000.0,631.563340306356,29,13
1175,South,Kebili,1954,Total cropland,8863.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,35867320.18,44315000.0,590.7619930627401,5,13
1176,North,Medenine,1954,Total cropland,5494.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,22233448.84,27470000.0,604.549034286581,23,13
1177,North,Sidi Bouzid,1954,Total cropland,52120.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,210922343.2,260600000.0,601.6740022325804,52,13
1178,South,Bizerte,1954,Total cropland,14774.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,59788309.64,73870000.0,507.46476040561447,44,13
1179,South,Mahdia,1954,Total cropland,37346.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,151134033.56,186730000.0,737.8729053057576,54,13
1180,South,Kasserine,1954,Total cropland,41218.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,166803475.48000002,206090000.0,536.6659006156425,32,13
1181,North,Jendouba,1954,Total cropland,15005.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,60723134.3,75025000.0,579.4714775227026,31,13
1182,Center,Kasserine,1954,Total cropland,5540.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,22419604.4,27700000.0,634.8621007486179,16,13
1183,North,Ariana,1954,Total cropland,2582.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,10448992.52,12910000.0,580.8654433533904,62,13
1184,South,Zaghouan,1954,Total cropland,11257.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,45555503.02,56285000.0,555.9624908757481,7,13
1185,Center,Tunis,1954,Total cropland,2504.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,10133337.44,12520000.0,597.906814063456,37,13
1186,North,Kebili,1954,Total cropland,1615.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6535678.9,8075000.0,618.2068548043443,4,13
1187,South,Sousse,1954,Total cropland,2037.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8243453.82,10185000.0,599.9292186599641,56,13
1188,Center,Kasserine,1954,Total cropland,678.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2743771.08,3390000.0,593.1850943303565,34,13
1189,Center,Tozeur,1954,Total cropland,26243.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,106201746.98,131215000.0,599.501921766915,46,13
1190,North,Tataouine,1954,Total cropland,7710.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,31201290.6,38550000.0,573.1833540335435,59,13
1191,North,Kasserine,1954,Total cropland,5282.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,21375514.52,26410000.0,635.4861370396036,45,13
1192,Center,Medenine,1954,Total cropland,13251.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,53624941.86,66255000.0,811.152669967796,6,13
1193,South,Zaghouan,1954,Total cropland,465327.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1883113223.22,2326635000.0,584.9119953259507,0,13
1194,Center,Kasserine,1954,Total cropland,13.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,52609.18,65000.0,596.5447086563241,2,13
1195,South,Sfax,1954,Total cropland,307.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1242386.02,1535000.0,589.929295782512,15,13
1196,South,Gafsa,1954,Total cropland,465647.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1884408218.42,2328235000.0,619.7062703387262,55,13
1197,South,Kasserine,1959,Total cropland,20973.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,84874794.78,115351500.0,737.691822428733,41,13
1198,Center,Sousse,1959,Total cropland,1186.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,4799575.96,4744000.0,822.3335125850085,24,13
1199,Center,Kairouan,1959,Total cropland,360.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1456869.6,1800000.0,729.260546957623,35,13
1200,South,Medenine,1959,Total cropland,988.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,3998297.68,4446000.0,742.8641762773025,57,13
1201,South,Tataouine,1959,Total cropland,467.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,1889883.62,3269000.0,677.6090061299926,26,13
1202,Center,Ariana,1959,Total cropland,53.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,214483.58,397500.0,764.2844306414389,48,13
1203,South,Sousse,1959,Total cropland,358.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,1448775.88,2434400.0,687.3289590389688,8,13
1204,North,Ben Arous,1959,Total cropland,6978.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,28238989.08,69780000.0,882.7471718826398,38,13
1205,North,Gabes,1959,Total cropland,1006.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,4071141.16,12072000.0,943.9351930915692,36,13
1206,North,Sidi Bouzid,1959,Total cropland,6916.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,27988083.76,44954000.0,774.6214151288774,47,13
1207,Center,Kairouan,1959,Total cropland,574.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2322897.64,2870000.0,718.5970071493492,10,13
1208,Center,Gafsa,1959,Total cropland,2087.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8445796.82,10435000.0,755.6557674052892,25,13
1210,South,Monastir,1959,Total cropland,45495.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,184111895.7,227475000.0,746.9287797865363,22,13
1211,Center,Sfax,1959,Total cropland,10470.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,42370624.2,52350000.0,742.4222842404083,27,13
1212,Center,Ben Arous,1959,Total cropland,12502.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,50593843.72,62510000.0,784.3005476876212,61,13
1213,Center,Manouba,1959,Total cropland,22523.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,91147427.78,112615000.0,724.0468272671437,28,13
1214,Center,Tozeur,1959,Total cropland,95090.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,384815917.4,475450000.0,730.2931189947116,9,13
1215,Center,Siliana,1959,Total cropland,12427.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,50290329.22,62135000.0,785.2441154737602,43,13
1216,North,Tozeur,1959,Total cropland,14198.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,57457318.28,70990000.0,751.1624598207933,18,13
1217,South,Kasserine,1959,Total cropland,23864.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,96574267.04,119320000.0,760.0167529596459,17,13
1218,South,Tataouine,1959,Total cropland,26551.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,107448179.86,132755000.0,714.5161988461708,19,13
1219,North,Beja,1959,Total cropland,18050.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,73045823.0,90250000.0,792.0048915420742,30,13
1220,Center,Ariana,1959,Total cropland,101054.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,408951390.44,505270000.0,718.6870231606287,42,13
1221,Center,Nabeul,1959,Total cropland,28275.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,114424966.5,141375000.0,735.7464858839959,40,13
1222,Center,Siliana,1959,Total cropland,19070.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,77173620.2,95350000.0,745.8168181059737,50,13
1223,South,Bizerte,1959,Total cropland,23637.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,95655629.82,118185000.0,642.773221465818,33,13
1224,North,Tataouine,1959,Total cropland,30072.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,121697173.92,150360000.0,747.0338129370998,20,13
1225,North,Manouba,1959,Total cropland,29990.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,121365331.4,149950000.0,718.9317578786126,3,13
1226,South,Mahdia,1959,Total cropland,4427.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,17915449.22,22135000.0,789.7092822726556,58,13
1227,North,Nabeul,1959,Total cropland,1521.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6155274.0600000005,7605000.0,777.3385411529908,60,13
1228,North,Gabes,1959,Total cropland,7358.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,29776795.880000003,36790000.0,650.1149853440523,39,13
1229,North,Kef,1959,Total cropland,8536.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,34543996.96,42680000.0,710.7666248777787,21,13
1230,North,Medenine,1959,Total cropland,8148.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,32973815.28,40740000.0,720.2043924688703,53,13
1231,South,Tunis,1959,Total cropland,21071.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,85271387.06,105355000.0,778.4524434131516,51,13
1232,South,Kef,1959,Total cropland,4541.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,18376791.26,22705000.0,746.66922569835,49,13
1233,Center,Mahdia,1959,Total cropland,7458.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,30181481.880000003,37290000.0,785.0858664217518,14,13
1234,South,Kairouan,1959,Total cropland,3044.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,12318641.84,15220000.0,950.0795080045026,13,13
1235,Center,Sfax,1959,Total cropland,6028.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,24394472.08,30140000.0,777.8712309078985,1,13
1236,South,Bizerte,1959,Total cropland,20808.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,84207062.88,104040000.0,718.007542994886,11,13
1237,South,Nabeul,1959,Total cropland,7183.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,29068595.380000003,35915000.0,775.3296251524283,29,13
1238,South,Beja,1959,Total cropland,8570.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,34681590.2,42850000.0,823.3641395924925,5,13
1239,North,Ben Arous,1959,Total cropland,5055.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,20456877.3,25275000.0,689.885505876006,23,13
1240,South,Siliana,1959,Total cropland,53916.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,218190503.76,269580000.0,770.0066202533892,52,13
1241,Center,Manouba,1959,Total cropland,15096.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,61091398.56,75480000.0,760.7352579623828,44,13
1242,South,Monastir,1959,Total cropland,38820.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,157099105.20000002,194100000.0,950.2839644072984,54,13
1243,North,Sidi Bouzid,1959,Total cropland,42952.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,173820730.72,214760000.0,749.4442495666854,32,13
1244,Center,Kef,1959,Total cropland,15243.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,61686286.98,76215000.0,750.4857157894141,31,13
1245,North,Gafsa,1959,Total cropland,5821.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23556772.06,29105000.0,780.7175414081261,16,13
1246,North,Tozeur,1959,Total cropland,2768.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,11201708.48,13840000.0,689.9846696039795,62,13
1247,Center,Tataouine,1959,Total cropland,11846.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,47939103.56,59230000.0,704.9773220165839,7,13
1248,Center,Beja,1959,Total cropland,2650.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,10724179.0,13250000.0,693.6274369049312,37,13
1249,North,Tunis,1959,Total cropland,1557.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6300961.0200000005,7785000.0,768.6709258612588,4,13
1250,South,Tozeur,1959,Total cropland,2219.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8979982.34,11095000.0,682.6063700732944,56,13
1251,Center,Ben Arous,1959,Total cropland,848.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3431737.2800000003,4240000.0,731.1876195185034,34,13
1252,South,Kasserine,1959,Total cropland,26134.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,105760639.24,130670000.0,797.434664247853,46,13
1253,Center,Tozeur,1959,Total cropland,8053.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,32589363.58,40265000.0,772.6844351697125,59,13
1254,North,Siliana,1959,Total cropland,5474.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,22152511.64,27370000.0,721.4475986715007,45,13
1255,South,Manouba,1959,Total cropland,12607.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,51018764.02,63035000.0,932.7583186302452,6,13
1256,Center,Gafsa,1959,Total cropland,457483.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1851369653.38,2287415000.0,708.6591682267739,0,13
1257,North,Tunis,1959,Total cropland,24.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,97124.64,120000.0,800.1290728852113,2,13
1258,Center,Tunis,1959,Total cropland,500.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2023430.0,2500000.0,759.5520235006229,15,13
1259,South,Kebili,1959,Total cropland,458007.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1853490208.02,2290035000.0,680.6802100151172,55,13
1260,Center,Mahdia,1964,Total cropland,19173.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,77590446.78,105451500.0,919.7469038701996,41,13
1261,North,Gafsa,1964,Total cropland,1002.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,4054953.72,4008000.0,821.3671735615302,24,13
1262,Center,Gabes,1964,Total cropland,256.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1035996.16,1280000.0,881.5240052376627,35,13
1263,Center,Bizerte,1964,Total cropland,883.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,3573377.38,3973500.0,1003.9335856690354,57,13
1264,South,Mahdia,1964,Total cropland,369.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,1493291.34,2583000.0,950.6804573890784,26,13
1265,North,Kairouan,1964,Total cropland,46.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,186155.56,345000.0,896.251481861844,48,13
1266,North,Monastir,1964,Total cropland,299.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,1210011.14,2033200.0,875.6171406591025,8,13
1267,Center,Mahdia,1964,Total cropland,6626.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,26814494.36,66260000.0,1086.593565798584,38,13
1268,South,Siliana,1964,Total cropland,858.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,3472205.88,10296000.0,1105.359468626459,36,13
1269,South,Sidi Bouzid,1964,Total cropland,6314.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,25551874.04,41041000.0,880.343033470087,47,13
1270,Center,Zaghouan,1964,Total cropland,533.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2156976.38,2665000.0,977.9106493404524,10,13
1271,North,Manouba,1964,Total cropland,1987.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8041110.82,9935000.0,987.7851945774144,25,13
1273,North,Manouba,1964,Total cropland,44970.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,181987294.2,224850000.0,955.8431358649348,22,13
1274,South,Kairouan,1964,Total cropland,9867.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,39930367.620000005,49335000.0,938.7401214160608,27,13
1275,North,Gabes,1964,Total cropland,12367.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,50047517.620000005,61835000.0,985.0207320852876,61,13
1276,North,Manouba,1964,Total cropland,22736.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,92009408.96,113680000.0,859.7555363702254,28,13
1277,South,Siliana,1964,Total cropland,94750.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,383439985.0,473750000.0,909.0047457189072,9,13
1278,South,Kasserine,1964,Total cropland,12035.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,48703960.1,60175000.0,938.423672619331,43,13
1279,North,Kef,1964,Total cropland,13755.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,55664559.3,68775000.0,889.307158308263,18,13
1280,North,Tozeur,1964,Total cropland,24165.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,97792371.9,120825000.0,908.8954161053692,17,13
1281,North,Zaghouan,1964,Total cropland,26623.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,107739553.78,133115000.0,989.2106928093748,19,13
1282,South,Sidi Bouzid,1964,Total cropland,18172.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,73539539.92,90860000.0,908.9138318075107,30,13
1283,Center,Tunis,1964,Total cropland,98843.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,400003782.98,494215000.0,818.2469388196537,42,13
1284,Center,Ariana,1964,Total cropland,27914.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,112964050.04,139570000.0,902.7783801612248,40,13
1285,Center,Zaghouan,1964,Total cropland,18965.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,76748699.9,94825000.0,901.8743716254944,50,13
1286,North,Ariana,1964,Total cropland,22275.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,90143806.5,111375000.0,888.8337997093702,33,13
1287,Center,Kebili,1964,Total cropland,29689.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,120147226.54,148445000.0,939.5451028286824,20,13
1288,North,Gabes,1964,Total cropland,28883.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,116885457.38,144415000.0,903.2468761750692,3,13
1289,Center,Medenine,1964,Total cropland,4080.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,16511188.8,20400000.0,889.2076026211826,58,13
1290,Center,Tunis,1964,Total cropland,1238.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5010012.68,6190000.0,949.0874923460268,60,13
